,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
81,no_checking_account,15,existing_credits_paid_back_till_now,radio_television,1213,500_to_1000_dm,7_more_years,4,male_single,none,3,savings_agreement_life_insurance,47,stores,own,1,skilled_employee,1,yes,yes,0,1
82,no_checking_account,18,existing_credits_paid_back_till_now,business,1568,100_to_500_dm,1_4_years,3,female_divorced_separated_married,none,4,savings_agreement_life_insurance,24,none,rent,1,unskilled_resident,1,none,yes,0,1
83,less_than_0_dm,24,existing_credits_paid_back_till_now,others,1755,less_than_100_dm,7_more_years,4,female_divorced_separated_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,0,1
84,less_than_0_dm,10,existing_credits_paid_back_till_now,radio_television,2315,less_than_100_dm,7_more_years,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,none,yes,0,1
85,no_checking_account,12,critical_account,business,1412,less_than_100_dm,1_4_years,4,female_divorced_separated_married,guarantor,2,real_estate,29,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
86,0_to_200_dm,18,critical_account,furniture_equipment,1295,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,savings_agreement_life_insurance,27,none,own,2,skilled_employee,1,none,yes,0,1
87,0_to_200_dm,36,existing_credits_paid_back_till_now,education,12612,100_to_500_dm,1_4_years,1,male_single,none,4,unknown_or_no_property,47,none,for_free,1,skilled_employee,2,yes,yes,1,2
88,less_than_0_dm,18,existing_credits_paid_back_till_now,car_new,2249,100_to_500_dm,4_7_years,4,male_single,none,3,car_or_other,30,none,own,1,management_self_employed_highly_qualified,2,yes,yes,0,1
89,less_than_0_dm,12,no_credits_taken,repairs,1108,less_than_100_dm,4_7_years,4,male_single,none,3,real_estate,28,none,own,2,skilled_employee,1,none,yes,1,2
90,no_checking_account,12,critical_account,radio_television,618,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,56,none,own,1,skilled_employee,1,none,yes,0,1
91,less_than_0_dm,12,critical_account,car_used,1409,less_than_100_dm,7_more_years,4,male_single,none,3,real_estate,54,none,own,1,skilled_employee,1,none,yes,0,1
92,no_checking_account,12,critical_account,radio_television,797,unknown_or_no_savings_account,7_more_years,4,female_divorced_separated_married,none,3,savings_agreement_life_insurance,33,bank,own,1,unskilled_resident,2,none,yes,1,2
93,greater_than_200_dm,24,critical_account,furniture_equipment,3617,unknown_or_no_savings_account,7_more_years,4,male_single,co_applicant,4,unknown_or_no_property,20,none,rent,2,skilled_employee,1,none,yes,0,1
94,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,1318,greater_than_1000_dm,7_more_years,4,male_single,none,4,real_estate,54,none,own,1,skilled_employee,1,yes,yes,0,1
95,0_to_200_dm,54,no_credits_taken,business,15945,less_than_100_dm,0_1_year,3,male_single,none,4,unknown_or_no_property,58,none,rent,1,skilled_employee,1,yes,yes,1,2
96,no_checking_account,12,critical_account,education,2012,unknown_or_no_savings_account,4_7_years,4,female_divorced_separated_married,none,2,car_or_other,61,none,own,1,skilled_employee,1,none,yes,0,1
97,0_to_200_dm,18,existing_credits_paid_back_till_now,business,2622,100_to_500_dm,1_4_years,4,male_single,none,4,car_or_other,34,none,own,1,skilled_employee,1,none,yes,0,1
98,0_to_200_dm,36,critical_account,radio_television,2337,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0,1
99,0_to_200_dm,20,delay_in_past,car_used,7057,unknown_or_no_savings_account,4_7_years,3,male_single,none,4,savings_agreement_life_insurance,36,bank,rent,2,management_self_employed_highly_qualified,2,yes,yes,0,1
100,no_checking_account,24,existing_credits_paid_back_till_now,car_new,1469,100_to_500_dm,7_more_years,4,male_married_widowed,none,4,real_estate,41,none,rent,1,unskilled_resident,1,none,yes,0,1
101,0_to_200_dm,36,existing_credits_paid_back_till_now,radio_television,2323,less_than_100_dm,4_7_years,4,male_single,none,4,car_or_other,24,none,rent,1,skilled_employee,1,none,yes,0,1
102,no_checking_account,6,delay_in_past,radio_television,932,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,0,1
103,0_to_200_dm,9,critical_account,furniture_equipment,1919,less_than_100_dm,4_7_years,4,male_single,none,3,car_or_other,35,none,rent,1,skilled_employee,1,yes,yes,0,1
104,no_checking_account,12,existing_credits_paid_back_till_now,car_used,2445,unknown_or_no_savings_account,0_1_year,2,male_married_widowed,none,4,car_or_other,26,none,rent,1,skilled_employee,1,yes,yes,0,1
105,0_to_200_dm,24,critical_account,others,11938,less_than_100_dm,1_4_years,2,male_single,co_applicant,3,car_or_other,39,none,own,2,management_self_employed_highly_qualified,2,yes,yes,1,2
106,no_checking_account,18,all_credits_paid_back,car_new,6458,less_than_100_dm,7_more_years,2,male_single,none,4,unknown_or_no_property,39,bank,own,2,management_self_employed_highly_qualified,2,yes,yes,1,2
107,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,6078,less_than_100_dm,4_7_years,2,male_single,none,2,car_or_other,32,none,own,1,skilled_employee,1,none,yes,0,1
108,less_than_0_dm,24,existing_credits_paid_back_till_now,furniture_equipment,7721,unknown_or_no_savings_account,0_1_year,1,female_divorced_separated_married,none,2,savings_agreement_life_insurance,30,none,own,1,skilled_employee,1,yes,no,0,1
109,0_to_200_dm,14,existing_credits_paid_back_till_now,business,1410,500_to_1000_dm,7_more_years,1,male_married_widowed,none,2,real_estate,35,none,own,1,skilled_employee,1,yes,yes,0,1
110,0_to_200_dm,6,delay_in_past,business,1449,100_to_500_dm,7_more_years,1,male_divorced_separated,none,2,car_or_other,31,bank,own,2,skilled_employee,2,none,yes,0,1
111,greater_than_200_dm,15,existing_credits_paid_back_till_now,education,392,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,23,none,rent,1,skilled_employee,1,yes,yes,0,1
112,0_to_200_dm,18,existing_credits_paid_back_till_now,car_new,6260,less_than_100_dm,4_7_years,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,none,yes,0,1
113,no_checking_account,36,critical_account,car_new,7855,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,2,real_estate,25,stores,own,2,skilled_employee,1,yes,yes,1,2
114,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,1680,500_to_1000_dm,7_more_years,3,male_married_widowed,none,1,real_estate,35,none,own,1,skilled_employee,1,none,yes,0,1
115,no_checking_account,48,critical_account,radio_television,3578,unknown_or_no_savings_account,7_more_years,4,male_single,none,1,real_estate,47,none,own,1,skilled_employee,1,yes,yes,0,1
116,less_than_0_dm,42,existing_credits_paid_back_till_now,radio_television,7174,unknown_or_no_savings_account,4_7_years,4,female_divorced_separated_married,none,3,car_or_other,30,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
117,less_than_0_dm,10,critical_account,furniture_equipment,2132,unknown_or_no_savings_account,0_1_year,2,female_divorced_separated_married,co_applicant,3,real_estate,27,none,rent,2,skilled_employee,1,none,no,0,1
118,less_than_0_dm,33,critical_account,furniture_equipment,4281,500_to_1000_dm,1_4_years,1,female_divorced_separated_married,none,4,car_or_other,23,none,own,2,skilled_employee,1,none,yes,1,2
119,0_to_200_dm,12,critical_account,car_new,2366,500_to_1000_dm,4_7_years,3,male_divorced_separated,none,3,car_or_other,36,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
120,less_than_0_dm,21,existing_credits_paid_back_till_now,radio_television,1835,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,2,real_estate,25,none,own,2,skilled_employee,1,yes,yes,1,2
121,no_checking_account,24,critical_account,car_used,3868,less_than_100_dm,7_more_years,4,female_divorced_separated_married,none,2,car_or_other,41,none,rent,2,management_self_employed_highly_qualified,1,yes,yes,0,1
122,no_checking_account,12,existing_credits_paid_back_till_now,furniture_equipment,1768,less_than_100_dm,1_4_years,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,0,1
123,greater_than_200_dm,10,critical_account,car_new,781,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,63,none,for_free,2,skilled_employee,1,yes,yes,0,1
124,0_to_200_dm,18,existing_credits_paid_back_till_now,furniture_equipment,1924,unknown_or_no_savings_account,0_1_year,4,female_divorced_separated_married,none,3,real_estate,27,none,rent,1,skilled_employee,1,none,yes,1,2
125,less_than_0_dm,12,critical_account,car_new,2121,less_than_100_dm,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,30,none,own,2,skilled_employee,1,none,yes,0,1
126,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,701,less_than_100_dm,1_4_years,4,male_married_widowed,none,2,real_estate,40,none,own,1,unskilled_resident,1,none,yes,0,1
127,0_to_200_dm,12,existing_credits_paid_back_till_now,repairs,639,less_than_100_dm,1_4_years,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,none,yes,1,2
128,0_to_200_dm,12,critical_account,car_used,1860,less_than_100_dm,unemployed,4,male_single,none,2,car_or_other,34,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
129,less_than_0_dm,12,critical_account,car_new,3499,less_than_100_dm,1_4_years,3,female_divorced_separated_married,co_applicant,2,real_estate,29,none,own,2,skilled_employee,1,none,yes,1,2
130,0_to_200_dm,48,existing_credits_paid_back_till_now,car_new,8487,unknown_or_no_savings_account,4_7_years,1,female_divorced_separated_married,none,2,car_or_other,24,none,own,1,skilled_employee,1,none,yes,0,1
131,less_than_0_dm,36,delay_in_past,education,6887,less_than_100_dm,1_4_years,4,male_single,none,3,savings_agreement_life_insurance,29,stores,own,1,skilled_employee,1,yes,yes,1,2
132,no_checking_account,15,existing_credits_paid_back_till_now,furniture_equipment,2708,less_than_100_dm,0_1_year,2,male_single,none,3,savings_agreement_life_insurance,27,bank,own,2,unskilled_resident,1,none,yes,0,1
133,no_checking_account,18,existing_credits_paid_back_till_now,furniture_equipment,1984,less_than_100_dm,1_4_years,4,male_single,none,4,unknown_or_no_property,47,bank,for_free,2,skilled_employee,1,none,yes,0,1
134,no_checking_account,60,existing_credits_paid_back_till_now,radio_television,10144,100_to_500_dm,4_7_years,2,female_divorced_separated_married,none,4,real_estate,21,none,own,1,skilled_employee,1,yes,yes,0,1
135,no_checking_account,12,critical_account,radio_television,1240,unknown_or_no_savings_account,7_more_years,4,female_divorced_separated_married,none,2,real_estate,38,none,own,2,skilled_employee,1,yes,yes,0,1
136,no_checking_account,27,delay_in_past,car_used,8613,greater_than_1000_dm,1_4_years,2,male_single,none,2,car_or_other,27,none,own,2,skilled_employee,1,none,yes,0,1
137,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,766,500_to_1000_dm,1_4_years,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,none,yes,1,2
138,0_to_200_dm,15,critical_account,radio_television,2728,unknown_or_no_savings_account,4_7_years,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled_employee,1,yes,yes,0,1
139,greater_than_200_dm,12,existing_credits_paid_back_till_now,radio_television,1881,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,car_or_other,44,none,rent,1,unskilled_resident,1,yes,yes,0,1
140,greater_than_200_dm,6,existing_credits_paid_back_till_now,car_new,709,greater_than_1000_dm,0_1_year,2,male_married_widowed,none,2,real_estate,27,none,own,1,unemployed_unskilled_non_resident,1,none,no,0,1
141,0_to_200_dm,36,existing_credits_paid_back_till_now,radio_television,4795,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,unknown_or_no_property,30,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
